1 0.387434  0.336274  0.332175  0.333385  0.332763  0.332558  0.332694  0.333309  0.332891  0.333516  0.332580  0.333303  0.332112  0.332585  0.332656  0.332742  0.333048  0.331551  0.332988  0.332573  0.333063  0.334075  0.333898  0.334463  0.334933  0.334730  0.333674  0.333571  0.334518  0.332594  0.333584  0.337624  0.334626  0.335549  0.334411  0.333595  0.334754  0.334830  0.334436  0.334307  0.333366  0.335131  0.334356  0.334067  0.333056  0.335043  0.334154  0.333495  0.334765  0.332848  0.334496  0.334290  0.334140  0.333943  0.336200  0.335406  0.335401  0.333418  0.333870  0.333488  0.336060  0.333627  0.333192  0.333900  0.331332  0.331558  0.332064  0.332041  0.333115  0.332573  0.330837  0.331601  0.330519  0.332817  0.332694  0.332338  0.332730  0.332260  0.332662  0.332620  0.334498  0.332166  0.331776  0.332267  0.331581  0.332045  0.332115  0.334216  0.332566  0.333792  0.332186  0.333166  0.332280  0.332610  0.332846  0.333071  0.333152  0.331308  0.333100  0.331608  
2 0.345034  0.345077  0.345103  0.348311  0.344599  0.347242  0.340986  0.344978  0.347125  0.345696  0.345572  0.345858  0.338195  0.345141  0.338115  0.346107  0.345086  0.340144  0.340556  0.347431  0.342132  0.348178  0.348646  0.347911  0.341002  0.340536  0.340347  0.345956  0.340051  0.339447  0.346565  0.339510  0.347617  0.346441  0.340266  0.341747  0.346489  0.341122  0.346550  0.341303  0.343124  0.340637  0.346435  0.346857  0.348136  0.348924  0.347373  0.348000  0.341166  0.341088  0.345069  0.340057  0.345930  0.340529  0.346957  0.348243  0.341499  0.343941  0.340737  0.345843  0.341743  0.340555  0.340682  0.342444  0.355260  0.341428  0.340199  0.340794  0.346413  0.339333  0.340504  0.346459  0.347038  0.341321  0.341855  0.340484  0.348472  0.340492  0.346945  0.346919  0.347915  0.346403  0.340279  0.347869  0.340381  0.346219  0.347882  0.346713  0.348606  0.345431  0.340742  0.346083  0.346151  0.340958  0.341287  0.344270  0.347042  0.340923  0.339492  0.347351  
4 0.354250  0.355622  0.350091  0.353622  0.353840  0.355225  0.347015  0.355925  0.356586  0.348048  0.355277  0.356029  0.355223  0.351147  0.353370  0.356295  0.354551  0.349817  0.353689  0.354766  0.354278  0.347170  0.352288  0.355169  0.353780  0.354589  0.356059  0.353865  0.354440  0.354144  0.354910  0.353701  0.353873  0.353564  0.353709  0.357093  0.349763  0.348697  0.353635  0.357365  0.353048  0.353679  0.354948  0.353897  0.363937  0.353751  0.355293  0.354994  0.354613  0.355763  0.353875  0.355363  0.354127  0.353036  0.356653  0.353899  0.354626  0.353830  0.354298  0.353071  0.354914  0.353735  0.355005  0.354903  0.355743  0.355333  0.353863  0.355831  0.354953  0.354618  0.356352  0.356017  0.352855  0.355905  0.354448  0.367000  0.356005  0.354944  0.348492  0.355996  0.353117  0.354315  0.360818  0.353988  0.354738  0.352153  0.353495  0.354783  0.355636  0.354099  0.356480  0.351229  0.351562  0.354450  0.353185  0.355980  0.356222  0.355761  0.353563  0.360773  
8 0.402964  0.400085  0.401632  0.401480  0.389247  0.400124  0.402726  0.399839  0.396796  0.399443  0.402874  0.403500  0.390486  0.404054  0.403147  0.402993  0.405844  0.402437  0.406896  0.395011  0.403959  0.401854  0.410701  0.401447  0.405742  0.399503  0.394966  0.400990  0.405378  0.406971  0.406593  0.396816  0.405813  0.405249  0.404270  0.402474  0.394685  0.396295  0.389896  0.411288  0.397768  0.399456  0.401167  0.410426  0.398375  0.404096  0.406018  0.404824  0.408807  0.393426  0.401848  0.404134  0.398839  0.410835  0.399041  0.401404  0.405459  0.407828  0.413626  0.400940  0.396119  0.399325  0.404008  0.408303  0.407320  0.403081  0.396779  0.406422  0.383841  0.404550  0.412956  0.404815  0.399699  0.397495  0.405348  0.410971  0.396277  0.402041  0.403519  0.410654  0.401955  0.402064  0.407262  0.388656  0.405217  0.405113  0.390768  0.410385  0.405145  0.395503  0.403420  0.393629  0.398745  0.386527  0.395689  0.402362  0.402478  0.403946  0.401822  0.404634  
16 0.499857  0.490269  0.531955  0.483369  0.482839  0.501720  0.512994  0.521190  0.474466  0.498417  0.488071  0.512075  0.526675  0.511615  0.523553  0.504583  0.517937  0.486785  0.508689  0.492911  0.500288  0.488191  0.523773  0.480119  0.473367  0.509016  0.540935  0.511918  0.483710  0.546873  0.510193  0.496693  0.495202  0.513154  0.502680  0.508751  0.514118  0.522597  0.513287  0.524584  0.511276  0.526772  0.516066  0.468255  0.505359  0.474622  0.527357  0.498803  0.502614  0.525138  0.512530  0.511401  0.520028  0.509280  0.466288  0.519096  0.512469  0.477420  0.521435  0.501417  0.534917  0.504530  0.482089  0.525711  0.500414  0.534760  0.502994  0.498126  0.499440  0.500631  0.486037  0.484118  0.515140  0.455447  0.519750  0.514911  0.507637  0.493887  0.497703  0.486552  0.482481  0.495316  0.486273  0.525329  0.511178  0.467922  0.514325  0.518068  0.516145  0.486334  0.499800  0.486301  0.491288  0.509327  0.533044  0.541982  0.496588  0.540123  0.525711  0.495165  
