1 2.898868  2.696731  2.699882  2.693743  2.695276  2.693836  2.697875  2.699903  2.690852  2.698290  2.685003  2.695811  2.714267  2.786735  2.695406  2.695302  2.693633  2.693803  2.696222  2.696202  2.697173  2.695242  2.695533  2.695838  2.690317  2.690056  2.700629  2.693940  2.695008  2.695331  2.695183  2.697502  2.695128  2.695172  2.690648  2.690543  2.699473  2.688237  2.697120  2.698443  2.692637  2.695289  2.698525  2.705295  2.697300  2.695109  2.693315  2.695944  2.696427  2.696916  2.698548  2.697116  2.697041  2.693561  2.696171  2.693938  2.699545  2.695668  2.689899  2.698044  2.704541  2.694985  2.694526  2.696323  2.694659  2.696284  2.696020  2.698415  2.690234  2.689726  2.698252  2.697415  2.694762  2.695155  2.698074  2.695056  2.695299  2.698818  2.690141  2.691206  2.689866  3.201843  2.698320  2.699553  2.698259  2.698773  2.699242  2.695146  2.695278  3.392944  2.689036  2.696249  2.696365  2.704956  2.697938  2.866087  2.697866  2.696519  2.698218  2.689912  
2 2.758170  2.740737  2.700261  2.700767  2.752334  2.735264  2.747965  2.651359  2.713133  2.743018  2.764281  2.801317  2.739400  2.781032  2.740809  2.707234  2.846260  2.687528  2.661612  2.684219  2.737867  2.699660  2.776251  2.749648  2.659439  2.741821  2.784937  2.799421  2.697061  2.778976  2.740292  2.732651  2.796279  2.738613  2.702524  2.694930  2.704313  2.798923  2.642646  2.716555  3.205764  2.665734  2.788077  2.749177  2.740623  2.727183  2.704091  2.649787  2.750929  2.716470  2.695060  2.763182  2.883330  2.694198  2.752037  2.742235  2.716422  2.720693  2.722340  2.733626  2.689134  2.843221  2.667866  2.691530  3.449814  2.695355  2.730532  2.689229  2.714565  2.779069  2.764648  2.734175  2.701680  2.789491  2.738412  2.738861  2.705909  2.787943  2.739673  2.772751  2.648771  2.741729  2.740176  2.835099  2.696633  2.705400  2.708198  2.703790  2.725445  2.790555  2.757116  2.690478  2.730296  2.724960  2.861172  2.710732  2.726648  2.695846  2.697723  2.697723  
4 2.810552  2.811994  2.772520  2.823963  2.783278  2.761045  2.738461  2.764134  2.854691  2.695787  2.796793  2.743479  2.767435  2.841888  2.905353  3.475375  2.808779  2.767171  2.743834  2.806179  2.851183  2.820833  2.962073  2.753496  2.765238  2.777047  2.773918  2.808941  2.870664  2.767133  2.761760  2.813521  2.793721  2.744314  2.814915  2.746924  2.781370  2.875399  2.753507  2.856310  2.793250  2.801046  2.735242  2.831661  2.764986  2.900403  2.784339  2.798426  2.769056  2.804332  2.824961  2.700252  2.870761  2.730813  2.753365  2.795867  2.804353  3.226200  2.754685  2.740883  2.963480  2.777744  2.749458  2.724161  3.230253  2.784874  2.732762  2.735920  2.778612  2.812271  3.496810  2.774256  2.758106  2.724155  2.760576  2.755608  2.787011  2.760132  2.792022  2.804196  2.746806  2.784215  2.897709  2.983944  2.828497  2.767608  2.761402  2.742747  2.721790  2.774913  2.757142  2.797263  2.776673  2.771555  2.879250  2.817795  2.770265  2.806550  2.787711  2.767527  
8 3.144014  3.173460  3.158802  3.107305  3.238088  3.022456  2.992447  3.019490  3.078889  3.033750  3.124107  3.208155  3.117347  3.049057  3.007852  3.002033  3.016733  2.983536  3.086879  2.993599  2.976076  3.027836  2.959958  3.138839  3.001029  3.090697  3.191515  2.983628  3.113355  3.175464  3.157315  2.991994  3.383534  3.012162  3.180411  3.091461  3.000852  3.692296  3.023603  3.146275  3.104609  2.974278  3.002771  3.146775  3.178242  2.994033  3.254171  3.064650  3.001349  3.135819  3.158435  3.008846  3.197291  3.136289  3.187883  3.025291  3.164515  3.003162  3.123577  3.013302  3.139380  2.985919  3.001991  3.028090  3.000209  3.029991  3.005744  3.008841  2.997597  3.126725  3.258102  3.023216  2.969760  3.069150  3.086754  3.733181  3.004037  3.049160  3.046240  3.004412  2.977947  3.228239  3.017856  2.974252  2.999581  3.062733  3.112049  2.993688  3.087962  3.004972  3.089504  3.150379  3.251109  3.019204  3.011751  3.033118  3.125362  3.022523  3.049049  3.077875  
16 3.430742  3.421478  3.406383  3.411659  3.902692  3.483479  3.404333  3.416870  3.383115  3.406368  3.888325  3.492986  3.496096  3.409723  3.488417  3.422407  3.380465  4.063007  3.379123  3.419158  4.076209  3.375724  3.398358  3.338465  3.410405  3.414406  3.412105  3.405062  3.516472  3.379457  3.409293  3.404909  3.410994  3.410254  3.403394  3.415510  3.406583  3.400979  3.496437  3.410726  3.484770  3.409120  3.402616  3.423503  3.409449  4.104520  3.868416  3.377614  3.485233  3.414155  3.416357  3.405753  3.545355  3.383512  3.416393  3.870912  3.519090  3.425133  3.389950  3.400442  3.402255  3.457152  3.407564  3.420054  3.385695  3.517509  3.439824  3.396391  3.414745  3.411466  3.403560  3.402730  3.411869  3.394952  3.411499  3.391717  3.441532  3.496792  3.414590  3.897668  3.401880  3.408707  3.429074  3.537578  3.376146  3.518271  3.902243  3.391570  3.401422  3.405614  3.410820  3.409457  3.402903  3.412861  3.390066  3.395380  3.404526  3.403178  3.386780  3.385856  

