1 1.521266  1.416338  1.419497  1.410700  1.418095  1.411400  1.415794  1.421530  1.417857  1.415175  1.434624  1.414692  1.421859  1.416403  1.422108  1.415928  1.423481  1.415158  1.422405  1.415747  1.424465  1.415900  1.420964  1.416208  1.423654  1.441523  1.415109  1.421365  1.423571  1.415994  1.421692  1.416184  1.422426  1.416870  1.421477  1.423392  1.418136  1.421057  1.417968  1.421220  1.416090  1.415721  1.423557  1.421885  1.415929  1.421789  1.411666  1.415049  1.423472  1.416262  1.426468  1.421299  1.425067  1.421708  1.416000  1.421424  1.424705  1.415132  1.434969  1.415358  1.422878  1.421354  1.414940  1.423948  1.421432  1.420961  1.422403  1.420807  1.416661  1.421301  1.415927  1.421951  1.416204  1.421714  1.426784  1.427841  1.421523  1.421587  1.415383  1.480640  1.421079  1.425380  1.420997  1.415138  1.422553  1.415674  1.423407  1.421433  1.420386  1.417379  1.420312  1.415195  1.424117  1.424032  1.419993  1.415380  1.422029  1.418301  1.415717  1.423285  
2 1.476793  1.531208  1.497360  1.531717  1.491167  1.525106  1.467644  1.454617  1.450935  1.525258  1.496046  1.531338  1.493086  1.494106  1.529311  1.454388  1.537188  1.409601  1.505042  1.467199  1.521772  1.495299  1.461147  1.418392  1.549123  1.537738  1.496732  1.493737  1.644074  1.459930  1.475736  1.451332  1.466308  1.488927  1.532419  1.491718  1.484561  1.460960  1.509057  1.457161  1.466193  1.468817  1.453274  1.601776  1.468186  1.459200  1.453843  1.531010  1.469173  1.503263  1.515777  1.451610  1.469101  1.449186  1.529317  1.453718  1.572169  1.465261  1.468592  1.515853  1.466158  1.557609  1.450542  1.497373  1.451945  1.469828  1.467565  1.476730  1.503004  1.498868  1.553056  1.500643  1.498848  1.497991  1.489848  1.542061  1.462573  1.549989  1.498185  1.498904  1.458870  1.510730  1.798949  1.464403  1.411763  1.469527  1.464217  1.463516  1.469528  1.452479  1.452421  1.545687  1.451073  1.411439  1.455524  1.506711  1.474494  1.497428  1.818802  1.497148  
4 1.490979  1.616879  1.605847  1.491474  1.616427  1.546771  1.539405  1.735860  1.523733  1.541086  1.538272  1.655883  1.536867  1.518031  1.482862  1.576445  1.818168  1.721895  1.521551  1.479034  1.548990  1.534511  1.534263  1.481938  1.538954  1.577200  1.534603  1.506209  1.550499  1.870025  1.526229  1.578665  1.512667  1.503822  1.528225  1.523753  1.488486  1.537647  1.526029  1.479384  1.487710  1.453996  1.541927  1.629105  1.502594  1.559510  1.510368  1.608553  1.565175  1.527653  1.565817  1.551417  1.543266  1.519069  1.531574  1.484476  1.506361  1.559652  1.481190  1.498572  1.456839  1.521731  1.534525  1.550966  1.496107  1.571259  1.505844  1.490634  1.570011  1.600538  1.610128  1.480006  1.509786  1.540816  1.517310  1.511070  1.530895  1.589275  1.515945  1.547839  1.657705  1.529448  1.525459  1.514961  1.523111  1.478303  1.477970  1.831605  1.557071  1.644011  1.784873  1.529473  1.524717  1.559756  1.507201  1.545300  1.500737  1.514037  1.531122  1.507445  
8 1.941844  1.651759  1.700411  1.745578  1.709687  1.713308  1.703087  1.713825  1.630209  1.745169  1.693715  1.640006  1.755681  1.704889  1.616189  1.630902  1.922988  1.943860  1.698217  1.706081  1.616220  1.652522  1.633642  1.942511  1.635153  1.655665  1.654270  1.709470  1.743281  1.637099  1.906389  1.658052  1.658565  1.650679  1.765810  1.632754  1.610864  1.625908  1.731363  1.986724  1.633224  1.676109  1.643979  1.686399  1.932107  1.624219  1.785844  1.656071  1.634621  1.681187  1.635670  1.626116  1.770102  1.622334  1.887403  1.658012  1.651268  1.850247  1.751218  1.731372  1.686665  1.823876  1.704117  1.615196  1.641411  1.625747  1.629434  1.635775  1.735387  1.676884  1.664303  1.666906  1.740620  1.726985  1.616872  1.648374  1.625194  1.725038  1.730561  1.744025  1.667501  1.718982  1.708720  1.745892  1.699312  1.635939  1.719522  1.625329  1.638173  1.619507  1.647455  1.641523  1.669169  1.728944  1.636899  1.648534  1.648507  1.645042  1.720631  1.756629  
16 1.891003  1.934361  1.871574  2.028485  1.877576  2.096479  1.918566  2.195546  1.860229  1.914143  1.883488  1.865106  1.866703  2.129431  1.889579  2.000651  2.206575  2.864126  1.874272  1.866112  1.894452  2.213416  1.885541  1.850190  1.940789  1.895711  1.880507  1.922655  1.872372  1.875392  1.900638  1.875381  1.913752  2.121923  1.793261  1.878605  1.853161  1.866274  1.909034  1.876754  1.882495  1.895548  1.830417  1.885596  1.941268  1.893421  1.872213  2.021642  1.887777  1.882432  1.844648  1.867294  1.885027  1.873216  2.147678  1.833534  1.879035  1.872963  1.881554  1.878992  2.210000  1.861598  1.853049  1.815364  1.890031  2.133288  1.881733  1.874695  1.869795  1.890732  2.130010  1.933049  1.857131  1.891237  2.016953  1.872198  1.932674  2.024340  1.881322  1.876153  1.898398  1.873377  1.878747  1.948764  2.133864  1.889061  1.868995  2.210205  1.871146  1.862939  1.862937  1.886088  1.882028  2.023342  1.945377  1.873251  1.872420  1.877946  1.876371  1.891830  
