1 2.575773  2.522259  2.515857  2.512954  2.512726  2.513693  2.510979  2.512666  2.512554  2.514638  2.512704  2.507021  2.508705  2.749912  2.513297  2.514229  2.507729  2.514624  2.536211  2.513333  2.521440  2.514451  2.514777  2.507323  2.513441  2.507405  2.507291  2.514224  2.513421  2.510556  2.513192  2.514255  2.534021  2.513130  2.513373  2.519315  2.513078  2.511948  2.521950  2.510720  2.511986  2.512761  2.511659  2.514574  2.522481  2.514202  2.513226  2.511314  2.749790  2.511948  2.506983  2.574445  2.513131  2.529865  2.512746  2.513316  2.513566  2.507368  2.514274  2.510611  2.526543  2.514757  2.516051  2.742312  2.511343  2.510627  2.513042  2.512335  2.510307  2.512925  2.511841  2.513488  2.511221  2.517707  2.508030  2.511518  2.513830  2.513170  2.511574  2.514470  2.510513  2.513662  2.505891  2.511962  2.515680  2.510281  2.514027  2.513127  2.514819  2.511930  2.944569  2.513271  2.511907  2.513333  2.514129  2.503928  2.512921  2.513159  2.513255  2.513184  
2 2.607160  2.605308  2.591214  2.609364  2.589095  2.618151  2.619711  2.591881  2.607842  2.592110  2.605372  2.605367  2.597167  2.612129  2.601141  2.588405  2.589818  2.589855  2.617532  2.591254  2.635896  2.590423  2.586952  2.626220  2.608396  2.589704  2.589411  2.609559  2.591285  2.584718  2.590853  2.589268  2.588328  2.591012  2.592432  2.590306  2.605858  2.590031  2.591273  2.590680  2.601773  2.591031  2.591719  2.591681  2.618469  2.591167  2.597164  2.590263  2.591348  2.590147  2.589723  2.588141  2.595756  2.588590  2.604069  2.597756  2.589744  2.589542  2.596090  2.589752  2.614436  2.605285  2.589969  2.609116  2.589705  2.587133  2.601008  2.589199  2.587567  2.588193  2.590273  2.587651  2.590317  2.588947  2.592077  3.222149  2.588042  2.597338  3.031990  2.592468  2.600419  2.587049  2.583930  2.677923  2.597760  2.588997  2.662703  2.597626  2.603813  2.618729  2.587004  2.596773  2.590619  2.588226  2.609189  2.587340  2.619457  2.617535  2.601234  2.596525  
4 3.056792  2.618084  2.714588  2.640551  2.604668  2.608865  2.609888  2.607104  2.610933  2.606794  2.606600  2.606449  3.058370  2.607354  2.602435  2.626048  2.608195  2.617181  2.603008  2.601975  2.602836  2.602233  2.603177  2.600419  2.603260  2.614194  2.606878  2.646304  2.623583  2.605771  2.602306  2.606752  2.626605  2.606492  2.606203  2.645131  2.608693  2.713881  2.605490  2.605309  2.855938  2.613675  2.602841  2.618613  2.602550  2.603424  2.604999  2.606877  2.601571  2.607782  3.048811  2.603013  2.601982  2.611359  2.675628  2.612827  2.606535  2.606601  2.618229  2.608806  2.605907  2.602954  2.609910  2.853833  2.604931  2.607013  2.604729  2.602326  2.606098  2.605458  2.619546  2.605619  2.664846  2.617256  2.603733  2.606058  2.605664  2.733696  2.674909  2.609580  2.600169  2.608191  2.602586  2.605113  2.604769  2.620904  2.605483  2.603203  2.602345  2.605237  2.615584  2.675636  2.599810  3.042566  2.604144  2.597696  2.604988  2.604333  2.684522  2.718095  
8 2.859401  2.780820  2.777313  2.827802  2.790645  2.795680  2.934078  2.826348  2.850500  2.794378  2.886781  2.797454  2.777747  2.814526  2.789071  2.796913  2.809656  2.818956  2.794104  2.918567  2.792961  2.817236  2.790059  2.800721  2.809555  2.867590  2.837356  2.853578  3.164098  2.818092  2.806621  2.873806  2.935401  2.806310  2.830243  2.808032  2.826087  2.812616  2.875467  2.904227  2.880743  2.787253  2.801741  2.802026  2.802020  2.870557  2.868053  2.797261  2.869064  2.807768  2.800605  2.815767  2.790015  2.795639  2.803777  2.811442  2.814151  3.300729  2.811717  2.800317  2.794033  3.070236  2.806026  2.885728  2.818641  2.801793  2.886488  2.871408  2.801926  2.781260  2.841357  2.817048  2.812337  2.791936  2.789440  2.852426  2.807179  2.800187  2.816545  2.801594  2.787413  3.277339  2.798372  3.242739  2.805921  2.798551  2.796130  2.815303  2.819595  2.824739  2.795476  2.799362  2.799184  2.785358  2.818754  2.912233  2.811164  2.806510  2.797727  2.796707  
16 4.403018  3.151191  3.127338  4.395307  3.136963  3.060344  3.179504  4.425490  3.187461  4.405126  3.089027  3.180814  3.122114  4.376375  3.552099  4.417117  3.173582  3.067659  3.111593  3.073907  4.432712  3.108931  4.400620  4.559516  3.113993  4.399212  3.059894  3.047609  3.342685  4.415550  4.365284  4.406568  3.087913  3.127016  4.381753  3.107759  3.074972  3.088665  3.084584  4.415425  3.104211  3.053916  3.051758  3.062871  4.402057  4.399354  3.063698  3.100328  3.092256  3.105157  3.087481  4.397345  3.066734  4.436668  3.054749  3.150632  3.175102  3.557298  3.576706  3.089833  3.093801  3.190252  3.094277  3.202315  3.142074  4.386686  3.067853  4.426425  3.134172  3.109172  3.161204  3.353685  3.079646  4.429352  3.091046  4.404276  3.120917  4.412407  3.213718  3.158965  3.105673  4.402719  3.144654  3.031527  4.430067  3.088559  4.401926  3.108681  3.131761  3.082116  3.167485  3.154063  3.165204  3.074047  3.188845  4.417509  3.559413  3.132252  3.623819  3.086947  
